iteration,best_fitness,avg_fitness,diversity,pheromone_avg,pheromone_max,pheromone_min,Instance_Size,Instance_File,Timestamp
0,0,0,0.0,1.0,1.0,1.0,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
10,0,0,0.0,0.34867844010000015,0.34867844010000015,0.34867844010000015,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
20,0,0,0.0,0.12157665459056936,0.12157665459056936,0.12157665459056936,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
30,0,0,0.0,0.042391158275216244,0.042391158275216244,0.042391158275216244,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
40,0,0,0.0,0.014780882941434608,0.014780882941434608,0.014780882941434608,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
50,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
60,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
70,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
80,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
90,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
100,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
110,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
120,0,0,0.0,0.01,0.01,0.01,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:58
