iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,110.18693340314289,40.048904346882146,0.8451155853840409,0.15,0.85,0
1,110.18693340314289,69.79929023145787,0.7267501864280536,0.15,0.85,1
2,110.18693340314289,92.75644483790433,0.47002237136465047,0.15,0.85,2
3,110.18693340314289,99.47803147563174,0.11210738255034604,0.15,0.85,3
4,110.18693340314289,106.79770154123312,0.0,0.15,0.85,4
5,110.18693340314289,104.53821363329311,0.0,0.15,0.85,5
6,110.18693340314289,101.14898177138312,0.0,0.15,0.85,6
7,110.18693340314289,105.10308561027811,0.0,0.15,0.85,7
8,110.18693340314289,104.53821363329311,0.0,0.15,0.85,8
9,110.18693340314289,105.66795758726313,0.0,0.15,0.85,9
10,110.18693340314289,106.23282956424812,0.0,0.15,0.85,10
11,110.18693340314289,107.36257351821813,0.0,0.15,0.85,11
12,110.18693340314289,107.92744549520313,0.0,0.15,0.85,12
13,110.18693340314289,106.23282956424812,0.0,0.15,0.85,13
14,110.18693340314289,106.23282956424812,0.0,0.15,0.85,14
15,110.18693340314289,103.97334165630811,0.0,0.15,0.85,15
16,110.18693340314289,105.66795758726313,0.0,0.15,0.85,16
17,110.18693340314289,105.66795758726312,0.0,0.15,0.85,17
18,110.18693340314289,104.53821363329311,0.0,0.15,0.85,18
19,110.18693340314289,106.23282956424812,0.0,0.15,0.85,19
20,110.18693340314289,106.23282956424812,0.0,0.15,0.85,20
21,110.18693340314289,103.97334165630812,0.0,0.15,0.85,21
22,110.18693340314289,103.97334165630811,0.0,0.15,0.85,22
23,110.18693340314289,102.8435977023381,0.0,0.15,0.85,23
24,110.18693340314289,105.10308561027811,0.0,0.15,0.85,24
25,110.18693340314289,102.84359770233812,0.0,0.15,0.85,25
26,110.18693340314289,106.23282956424812,0.0,0.15,0.85,26
27,110.18693340314289,105.66795758726312,0.0,0.15,0.85,27
28,110.18693340314289,105.10308561027811,0.0,0.15,0.85,28
29,110.18693340314289,106.79770154123312,0.0,0.15,0.85,29
30,110.18693340314289,103.97334165630812,0.0,0.15,0.85,30
31,110.18693340314289,106.79770154123312,0.0,0.15,0.85,31
32,110.18693340314289,105.66795758726312,0.0,0.15,0.85,32
33,110.18693340314289,106.79770154123312,0.0,0.15,0.85,33
34,110.18693340314289,106.23282956424812,0.0,0.15,0.85,34
35,110.18693340314289,105.10308561027811,0.0,0.15,0.85,35
36,110.18693340314289,103.4084696793231,0.0,0.15,0.85,36
37,110.18693340314289,104.53821363329313,0.0,0.15,0.85,37
38,110.18693340314289,108.49231747218813,0.0,0.15,0.85,38
39,110.18693340314289,106.79770154123312,0.0,0.15,0.85,39
40,110.18693340314289,105.10308561027811,0.0,0.15,0.85,40
41,110.18693340314289,106.79770154123314,0.0,0.15,0.85,41
42,110.18693340314289,104.53821363329311,0.0,0.15,0.85,42
43,110.18693340314289,105.66795758726312,0.0,0.15,0.85,43
44,110.18693340314289,105.10308561027811,0.0,0.15,0.85,44
45,110.18693340314289,106.23282956424812,0.0,0.15,0.85,45
46,110.18693340314289,102.8435977023381,0.0,0.15,0.85,46
47,110.18693340314289,106.23282956424812,0.0,0.15,0.85,47
48,110.18693340314289,108.49231747218812,0.0,0.15,0.85,48
49,110.18693340314289,102.84359770233812,0.0,0.15,0.85,49
50,110.18693340314289,102.8435977023381,0.0,0.15,0.85,50
