iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,406.48864586493113,328.4926732283864,0.2991018306142128,0.15,0.85
1,416.0106583153743,364.75480310865976,0.22727565854120513,0.15,0.85
2,416.0106583153743,386.1170654914505,0.14574515449209793,0.15,0.85
3,416.0106583153743,398.99834206977357,0.1105861297539218,0.15,0.85
4,416.0106583153743,397.60528244903634,0.00529753914988817,0.15,0.85
5,416.01155306495474,403.9340630656449,0.0,0.15,0.85
6,416.01155306495474,391.08273671801317,0.0,0.15,0.85
7,416.01155306495474,390.79761991859954,0.0,0.15,0.85
8,417.37158700867997,404.75162170414563,0.0,0.15,0.85
9,417.37158700867997,403.65185663834296,0.0,0.15,0.85
10,417.37158700867997,397.897404821172,0.0,0.15,0.85
11,418.99855414367744,408.3926529221606,0.0,0.15,0.85
12,418.99855414367744,409.85959733839763,0.0,0.15,0.85
13,418.99855414367744,398.8466523284283,0.0,0.15,0.85
14,418.99855414367744,403.11020097879697,0.0,0.15,0.85
15,418.99855414367744,407.1765085032779,0.0,0.15,0.85
16,418.99855414367744,413.72590387701587,0.0,0.15,0.85
17,418.99855414367744,410.5569718696984,0.0,0.15,0.85
18,419.0957894926327,399.1205516089156,0.0,0.15,0.85
19,419.0957894926327,403.51581251924176,0.0,0.15,0.85
20,419.0957894926327,411.51521883410476,0.0,0.15,0.85
21,419.61653512637645,406.4695707729974,0.0,0.15,0.85
22,419.61653512637645,405.2668125221505,0.0,0.15,0.85
23,419.6655184231053,408.8741094059042,0.0,0.15,0.85
24,419.6655184231053,414.65233432874214,0.0,0.15,0.85
25,419.6655184231053,403.791841232222,0.0,0.15,0.85
26,419.6655184231053,410.60033541890175,0.0,0.15,0.85
27,419.6655184231053,408.3465103518726,0.0,0.15,0.85
28,420.6617803570665,405.41492113434185,0.0,0.15,0.85
29,420.69859441304277,402.5370119428995,0.0,0.15,0.85
30,420.69859441304277,410.8235238045016,0.0,0.15,0.85
31,424.2931861045178,416.64146737533764,0.0,0.15,0.85
32,424.2931861045178,414.3751520091698,0.0,0.15,0.85
33,424.2931861045178,420.2476403666633,0.0,0.15,0.85
34,424.2931861045178,419.375913578773,0.0,0.15,0.85
35,424.2931861045178,422.4369472689813,0.0,0.15,0.85
36,424.2931861045178,419.4131275406093,0.0,0.15,0.85
37,424.2931861045178,417.33502218642224,0.0,0.15,0.85
38,424.2931861045178,420.8192175136056,0.0,0.15,0.85
39,424.2931861045178,418.2426431895431,0.0,0.15,0.85
40,424.2931861045178,418.0591544706283,0.0,0.15,0.85
41,424.2931861045178,422.4053850707418,0.0,0.15,0.85
42,424.2931861045178,417.99459575452073,0.0,0.15,0.85
43,424.2931861045178,415.03455581391836,0.0,0.15,0.85
44,424.2931861045178,411.18821129190985,0.0,0.15,0.85
45,424.2931861045178,419.4679723862552,0.0,0.15,0.85
46,424.2931861045178,414.3024531375919,0.0,0.15,0.85
47,424.2931861045178,416.8889748100845,0.0,0.15,0.85
48,424.2931861045178,422.1989339131221,0.0,0.15,0.85
49,424.2931861045178,417.749012682655,0.0,0.15,0.85
50,424.2931861045178,416.8397057588149,0.0,0.15,0.85
51,424.2931861045178,418.17032465986085,0.0,0.15,0.85
52,424.2931861045178,415.367218262966,0.0,0.15,0.85
53,424.2931861045178,416.5183912209959,0.0,0.15,0.85
54,424.2931861045178,420.92101282860824,0.0,0.15,0.85
55,424.2931861045178,419.31892616292816,0.0,0.15,0.85
56,424.2931861045178,420.5171231720166,0.0,0.15,0.85
57,424.2931861045178,422.46075740703856,0.0,0.15,0.85
58,424.2931861045178,423.4215083958177,0.0,0.15,0.85
59,424.2931861045178,420.59542966685524,0.0,0.15,0.85
60,424.2931861045178,415.3771686199774,0.0,0.15,0.85
61,424.2931861045178,423.1104850272411,0.0,0.15,0.85
62,424.2931861045178,421.07616576941535,0.0,0.15,0.85
63,424.2931861045178,417.18992772857683,0.0,0.15,0.85
64,424.2931861045178,419.3087166675931,0.0,0.15,0.85
65,424.2931861045178,414.9940467867105,0.0,0.15,0.85
66,424.2931861045178,423.2624884181308,0.0,0.15,0.85
67,424.2931861045178,421.9397006857624,0.0,0.15,0.85
68,424.2931861045178,421.1598565367861,0.0,0.15,0.85
69,424.2931861045178,419.40732986581406,0.0,0.15,0.85
70,424.2931861045178,420.5795596249538,0.0,0.15,0.85
71,424.2931861045178,416.70334672796406,0.0,0.15,0.85
72,424.2931861045178,423.2646481146095,0.0,0.15,0.85
73,424.2931861045178,416.577900584917,0.0,0.15,0.85
74,424.2931861045178,418.14430792381825,0.0,0.15,0.85
75,424.42395498850215,413.9742764805354,0.0,0.15,0.85
76,424.42395498850215,422.89280447546724,0.0,0.15,0.85
77,424.42395498850215,420.61294333290533,0.0,0.15,0.85
78,424.42395498850215,409.39019140498436,0.0,0.15,0.85
79,424.42395498850215,414.62986914853633,0.0,0.15,0.85
80,424.42395498850215,416.69102183265653,0.0,0.15,0.85
81,424.42395498850215,418.2520695926411,0.0,0.15,0.85
82,424.42395498850215,420.534378221636,0.0,0.15,0.85
83,424.42395498850215,417.56935969204,0.0,0.15,0.85
84,424.42395498850215,418.22515469733725,0.0,0.15,0.85
85,424.42395498850215,419.4743989337607,0.0,0.15,0.85
86,424.42395498850215,416.6681746733243,0.0,0.15,0.85
87,424.42395498850215,423.8240443619664,0.0,0.15,0.85
88,424.42395498850215,417.7450486791236,0.0,0.15,0.85
89,424.42395498850215,422.18902673022325,0.0,0.15,0.85
90,424.42395498850215,419.69505979182605,0.0,0.15,0.85
91,424.42395498850215,415.3183898100672,0.0,0.15,0.85
92,424.42395498850215,419.26976190166994,0.0,0.15,0.85
93,424.42395498850215,415.4022660496493,0.0,0.15,0.85
94,424.42395498850215,420.85825781878043,0.0,0.15,0.85
95,424.42395498850215,420.935169637461,0.0,0.15,0.85
96,424.42395498850215,419.5759366196914,0.0,0.15,0.85
97,424.42395498850215,419.69619802839424,0.0,0.15,0.85
98,424.42395498850215,419.64541950415685,0.0,0.15,0.85
99,424.42395498850215,418.0514801108916,0.0,0.15,0.85
100,424.42395498850215,419.452780835565,0.0,0.15,0.85
101,424.42395498850215,415.3669193537319,0.0,0.15,0.85
102,424.42395498850215,419.6008160485177,0.0,0.15,0.85
103,424.42395498850215,414.09587275978737,0.0,0.15,0.85
104,424.42395498850215,418.59521928611673,0.0,0.15,0.85
105,424.42395498850215,420.59543840809334,0.0,0.15,0.85
106,424.42395498850215,415.9945001220134,0.0,0.15,0.85
107,424.42395498850215,419.5373028017191,0.0,0.15,0.85
108,424.42395498850215,418.1523843542164,0.0,0.15,0.85
109,424.42395498850215,418.14441496390594,0.0,0.15,0.85
110,424.42395498850215,416.85426445087353,0.0,0.15,0.85
111,424.42395498850215,418.1350413979636,0.0,0.15,0.85
112,424.42395498850215,418.1743016256275,0.0,0.15,0.85
113,424.42395498850215,418.01955218329914,0.0,0.15,0.85
114,424.42395498850215,418.39254236556883,0.0,0.15,0.85
115,424.42395498850215,420.98930768128616,0.0,0.15,0.85
116,424.42395498850215,421.89658960475566,0.0,0.15,0.85
117,424.42395498850215,422.5744245108864,0.0,0.15,0.85
118,424.42395498850215,418.9828234702753,0.0,0.15,0.85
119,424.42395498850215,416.9841478748353,0.0,0.15,0.85
120,424.42395498850215,421.08615159032087,0.0,0.15,0.85
121,424.42395498850215,420.421576155536,0.0,0.15,0.85
122,424.42395498850215,421.19630278325474,0.0,0.15,0.85
123,424.42395498850215,419.9121078730295,0.0,0.15,0.85
124,424.42395498850215,419.4244075708013,0.0,0.15,0.85
