iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,63.62667196407544,61.04163523109249,0.14533333333333587,0.15,0.85
1,63.62667196407544,61.07210308767226,0.20646085011185938,0.15,0.85
2,63.62667196407544,61.64026415180096,0.05170469798657665,0.15,0.85
3,63.62667196407544,60.908581969451795,0.0,0.15,0.85
4,63.62667196407544,62.721740772027744,0.0,0.15,0.85
5,63.62667196407544,60.82988224519095,0.0,0.15,0.85
6,63.62667196407544,61.125170324357626,0.0,0.15,0.85
7,63.62667196407544,61.59060557145024,0.0,0.15,0.85
8,63.62667196407544,61.180759848722566,0.0,0.15,0.85
9,63.62667196407544,60.957934435023745,0.0,0.15,0.85
10,63.62667196407544,61.30526547116628,0.0,0.15,0.85
11,63.62667196407544,61.659439493178674,0.0,0.15,0.85
12,63.62667196407544,62.00707349285963,0.0,0.15,0.85
13,63.62667196407544,62.256223348584825,0.0,0.15,0.85
14,63.62667196407544,62.18084940452496,0.0,0.15,0.85
15,63.62667196407544,62.29873282828691,0.0,0.15,0.85
16,63.62667196407544,60.5480887122961,0.0,0.15,0.85
17,63.62667196407544,60.41371728731997,0.0,0.15,0.85
18,63.62667196407544,62.29219280595548,0.0,0.15,0.85
19,63.62667196407544,62.194011625538124,0.0,0.15,0.85
20,63.62667196407544,61.02014615807042,0.0,0.15,0.85
21,63.62667196407544,60.541466513614346,0.0,0.15,0.85
22,63.62667196407544,59.97762929891628,0.0,0.15,0.85
23,63.62667196407544,61.83329758119431,0.0,0.15,0.85
24,63.62667196407544,61.92183374626735,0.0,0.15,0.85
25,63.62667196407544,60.43644234732714,0.0,0.15,0.85
26,63.62667196407544,60.400416455469006,0.0,0.15,0.85
27,63.62667196407544,59.629913122885,0.0,0.15,0.85
28,63.62667196407544,61.08235788111712,0.0,0.15,0.85
29,63.62667196407544,60.735109021324895,0.0,0.15,0.85
30,63.62667196407544,61.72195417976379,0.0,0.15,0.85
31,63.62667196407544,61.249593770451014,0.0,0.15,0.85
32,63.62667196407544,62.14465915996619,0.0,0.15,0.85
33,63.62667196407544,62.43008143660046,0.0,0.15,0.85
34,63.62667196407544,60.374230624280436,0.0,0.15,0.85
35,63.62667196407544,61.013523959388685,0.0,0.15,0.85
36,63.62667196407544,62.013695691541386,0.0,0.15,0.85
37,63.62667196407544,61.026686180401875,0.0,0.15,0.85
38,63.62667196407544,62.410297016905545,0.0,0.15,0.85
39,63.62667196407544,61.262755991464196,0.0,0.15,0.85
40,63.62667196407544,61.94486176981294,0.0,0.15,0.85
41,63.62667196407544,58.98416194179565,0.0,0.15,0.85
42,63.62667196407544,62.652906850299296,0.0,0.15,0.85
43,63.62667196407544,61.48566358151335,0.0,0.15,0.85
44,63.62667196407544,60.03321882328122,0.0,0.15,0.85
45,63.62667196407544,62.465968717620804,0.0,0.15,0.85
46,63.62667196407544,62.00707349285963,0.0,0.15,0.85
47,63.62667196407544,62.000451294177886,0.0,0.15,0.85
48,63.62667196407544,59.1447756324478,0.0,0.15,0.85
49,63.62667196407544,61.83321540484399,0.0,0.15,0.85
50,63.62667196407544,59.78398679120571,0.0,0.15,0.85
