iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,684.4274471220211,428.75327733424734,0.6344693479243133,0.15,0.85,0
1,685.2447707816754,504.0850776209199,0.617287799498865,0.15,0.85,0
2,685.2447707816754,597.3446914919643,0.4580726461501771,0.15,0.85,1
3,685.2447707816754,634.2040096635305,0.13819049834439734,0.15,0.85,2
4,685.2447707816754,665.9845600659454,0.0,0.15,0.85,3
5,685.2447707816754,668.3308492959375,0.0,0.15,0.85,4
6,685.4435015140641,650.3735011822679,0.0,0.15,0.85,0
7,685.4435015140641,669.3566825972481,0.0,0.15,0.85,1
8,685.4435015140641,672.3921536163026,0.0,0.15,0.85,2
9,685.4435015140641,663.3617581458137,0.0,0.15,0.85,3
10,685.4435015140641,660.6966554827959,0.0,0.15,0.85,4
11,685.4435015140641,666.5266099870045,0.0,0.15,0.85,5
12,685.4435015140641,663.2207986750063,0.0,0.15,0.85,6
13,685.4435015140641,667.7755326011727,0.0,0.15,0.85,7
14,685.4435015140641,649.0954892462718,0.0,0.15,0.85,8
15,685.4435015140641,658.7327124147463,0.0,0.15,0.85,9
16,685.4435015140641,657.5550546420454,0.0,0.15,0.85,10
17,685.4435015140641,674.9770652132946,0.0,0.15,0.85,11
18,685.4435015140641,664.609523967101,0.0,0.15,0.85,12
19,685.4435015140641,663.1292890370738,0.0,0.15,0.85,13
20,685.4435015140641,654.488289613564,0.0,0.15,0.85,14
21,685.4435015140641,661.0753391616589,0.0,0.15,0.85,15
22,685.4435015140641,667.1645001212376,0.0,0.15,0.85,16
23,685.4435015140641,663.1143625922111,0.0,0.15,0.85,17
24,685.4435015140641,666.6608429577077,0.0,0.15,0.85,18
25,685.4435015140641,668.5032125798105,0.0,0.15,0.85,19
26,685.4435015140641,656.9224481552765,0.0,0.15,0.85,20
27,685.4435015140641,657.2080538071286,0.0,0.15,0.85,21
28,685.4435015140641,671.9444556497109,0.0,0.15,0.85,22
29,685.4435015140641,667.5341371910837,0.0,0.15,0.85,23
30,685.4435015140641,669.9532936444548,0.0,0.15,0.85,24
31,685.4435015140641,669.6535027884346,0.0,0.15,0.85,25
32,685.4435015140641,671.0814107253404,0.0,0.15,0.85,26
33,685.4435015140641,660.3866878253837,0.0,0.15,0.85,27
34,685.4435015140641,658.9441210752389,0.0,0.15,0.85,28
35,685.4435015140641,661.3199019511627,0.0,0.15,0.85,29
36,685.4435015140641,667.4433952980547,0.0,0.15,0.85,30
37,685.4435015140641,664.2366654117992,0.0,0.15,0.85,31
38,685.4435015140641,672.1019531071663,0.0,0.15,0.85,32
39,685.4435015140641,663.6909799350025,0.0,0.15,0.85,33
40,685.4435015140641,661.5284336846812,0.0,0.15,0.85,34
41,685.4435015140641,660.5657777538678,0.0,0.15,0.85,35
42,685.4435015140641,653.4943656778015,0.0,0.15,0.85,36
43,685.4435015140641,665.3170979497332,0.0,0.15,0.85,37
44,685.4435015140641,670.0673720161739,0.0,0.15,0.85,38
45,685.4435015140641,662.5955413772922,0.0,0.15,0.85,39
46,685.4435015140641,670.8012949481088,0.0,0.15,0.85,40
47,685.4435015140641,659.7320595224766,0.0,0.15,0.85,41
48,685.4435015140641,656.0932250070271,0.0,0.15,0.85,42
49,685.4435015140641,656.8492857442724,0.0,0.15,0.85,43
50,685.4435015140641,647.0608528335728,0.0,0.15,0.85,44
51,685.4435015140641,671.9879815066356,0.0,0.15,0.85,45
52,685.4435015140641,663.9837030237569,0.0,0.15,0.85,46
53,685.4435015140641,660.382658632837,0.0,0.15,0.85,47
54,685.4435015140641,661.7040400306462,0.0,0.15,0.85,48
55,685.4435015140641,664.662762292116,0.0,0.15,0.85,49
56,685.4435015140641,663.915927143201,0.0,0.15,0.85,50
