iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,1048.9186926080658,887.6852880698427,0.587545457297218,0.15,0.85,0
1,1059.591819114284,958.9021033154963,0.5117410285961241,0.15,0.85,0
2,1059.591819114284,1020.0819613465599,0.3913487272459179,0.15,0.85,1
3,1059.591819114284,1029.173821971107,0.2617620713092774,0.15,0.85,2
4,1059.591819114284,1024.9246830699099,0.0,0.15,0.85,3
5,1059.591819114284,1033.6855144941214,0.0,0.15,0.85,4
6,1059.591819114284,1013.3500361094597,0.0,0.15,0.85,5
7,1059.591819114284,1019.5027222477231,0.0,0.15,0.85,6
8,1059.591819114284,1042.0960387208054,0.0,0.15,0.85,7
9,1059.591819114284,1039.2635940153255,0.0,0.15,0.85,8
10,1059.591819114284,1033.6851898160805,0.0,0.15,0.85,9
11,1059.591819114284,1036.6739422414994,0.0,0.15,0.85,10
12,1059.591819114284,1031.0599451036037,0.0,0.15,0.85,11
13,1059.591819114284,1039.574339636024,0.0,0.15,0.85,12
14,1059.591819114284,1033.403504358608,0.0,0.15,0.85,13
15,1059.591819114284,1048.0715970391616,0.0,0.15,0.85,14
16,1059.591819114284,1030.7582552122112,0.0,0.15,0.85,15
17,1059.591819114284,1042.4025131405037,0.0,0.15,0.85,16
18,1059.591819114284,1033.72405761156,0.0,0.15,0.85,17
19,1059.591819114284,1036.3231536690132,0.0,0.15,0.85,18
20,1059.591819114284,1039.388758729206,0.0,0.15,0.85,19
21,1059.591819114284,1045.0888901397934,0.0,0.15,0.85,20
22,1059.591819114284,1033.7888519825522,0.0,0.15,0.85,21
23,1059.591819114284,1030.7905295886014,0.0,0.15,0.85,22
24,1059.591819114284,1045.2817259275214,0.0,0.15,0.85,23
25,1059.591819114284,1025.2323314897349,0.0,0.15,0.85,24
26,1059.591819114284,1048.0221839042556,0.0,0.15,0.85,25
27,1059.591819114284,1047.9319745552164,0.0,0.15,0.85,26
28,1059.591819114284,1039.550235477276,0.0,0.15,0.85,27
29,1059.591819114284,1042.2202670497968,0.0,0.15,0.85,28
30,1059.591819114284,1038.2155061966255,0.0,0.15,0.85,29
31,1059.591819114284,1027.8991726227089,0.0,0.15,0.85,30
32,1059.6703104303513,1039.4578088160065,0.0,0.15,0.85,0
33,1059.6703104303513,1025.2149932769325,0.0,0.15,0.85,1
34,1059.6703104303513,1030.9847472582478,0.0,0.15,0.85,2
35,1059.6703104303513,1044.0395262564007,0.0,0.15,0.85,3
36,1059.6703104303513,1048.2491297786125,0.0,0.15,0.85,4
37,1059.6703104303513,1038.37890527972,0.0,0.15,0.85,5
38,1059.6703104303513,1030.8998557937493,0.0,0.15,0.85,6
39,1059.6703104303513,1039.3465449521948,0.0,0.15,0.85,7
