iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,46.363454466259576,46.214556073092034,0.0,0.15,0.85
1,46.363454466259576,45.43618537693454,0.0,0.15,0.85
2,46.363454466259576,43.27255750184241,0.0,0.15,0.85
3,46.363454466259576,44.508916287609345,0.0,0.15,0.85
4,46.363454466259576,44.81800598405108,0.0,0.15,0.85
5,46.363454466259576,43.890736894725876,0.0,0.15,0.85
6,46.363454466259576,43.890736894725876,0.0,0.15,0.85
7,46.363454466259576,45.12709568049281,0.0,0.15,0.85
8,46.363454466259576,43.581647198284145,0.0,0.15,0.85
9,46.363454466259576,44.19982659116761,0.0,0.15,0.85
10,46.363454466259576,44.19982659116761,0.0,0.15,0.85
11,46.363454466259576,44.19982659116761,0.0,0.15,0.85
12,46.363454466259576,44.508916287609345,0.0,0.15,0.85
13,46.363454466259576,44.508916287609345,0.0,0.15,0.85
14,46.363454466259576,44.81800598405108,0.0,0.15,0.85
15,46.363454466259576,44.508916287609345,0.0,0.15,0.85
16,46.363454466259576,44.81800598405108,0.0,0.15,0.85
17,46.363454466259576,43.581647198284145,0.0,0.15,0.85
18,46.363454466259576,43.890736894725876,0.0,0.15,0.85
19,46.363454466259576,45.43618537693454,0.0,0.15,0.85
20,46.363454466259576,42.963467805400676,0.0,0.15,0.85
21,46.363454466259576,45.43618537693454,0.0,0.15,0.85
22,46.363454466259576,45.43618537693454,0.0,0.15,0.85
23,46.363454466259576,42.963467805400676,0.0,0.15,0.85
24,46.363454466259576,44.19982659116761,0.0,0.15,0.85
25,46.363454466259576,44.508916287609345,0.0,0.15,0.85
26,46.363454466259576,45.12709568049281,0.0,0.15,0.85
27,46.363454466259576,46.05436476981801,0.0,0.15,0.85
28,46.363454466259576,45.43618537693454,0.0,0.15,0.85
29,46.363454466259576,44.81800598405108,0.0,0.15,0.85
30,46.363454466259576,44.81800598405108,0.0,0.15,0.85
31,46.363454466259576,44.508916287609345,0.0,0.15,0.85
32,46.363454466259576,44.508916287609345,0.0,0.15,0.85
33,46.363454466259576,44.19982659116761,0.0,0.15,0.85
34,46.363454466259576,43.890736894725876,0.0,0.15,0.85
35,46.363454466259576,45.12709568049281,0.0,0.15,0.85
36,46.363454466259576,45.12709568049281,0.0,0.15,0.85
37,46.363454466259576,44.81800598405108,0.0,0.15,0.85
38,46.363454466259576,45.12709568049281,0.0,0.15,0.85
39,46.363454466259576,44.81800598405108,0.0,0.15,0.85
40,46.363454466259576,43.890736894725876,0.0,0.15,0.85
41,46.363454466259576,45.12709568049281,0.0,0.15,0.85
42,46.363454466259576,44.508916287609345,0.0,0.15,0.85
43,46.363454466259576,43.581647198284145,0.0,0.15,0.85
44,46.363454466259576,45.12709568049281,0.0,0.15,0.85
45,46.363454466259576,43.890736894725876,0.0,0.15,0.85
46,46.363454466259576,44.81800598405108,0.0,0.15,0.85
47,46.363454466259576,44.508916287609345,0.0,0.15,0.85
48,46.363454466259576,45.43618537693454,0.0,0.15,0.85
49,46.363454466259576,44.81800598405108,0.0,0.15,0.85
50,46.363454466259576,44.19982659116761,0.0,0.15,0.85
