iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,248.6480392127996,207.91720366923576,0.4220530585496951,0.15,0.85
1,249.19925313774786,218.6183894357811,0.3246931681294047,0.15,0.85
2,249.19925313774786,228.90371006042488,0.33388702870582293,0.15,0.85
3,249.19925313774786,230.54539889137973,0.2983969647057108,0.15,0.85
4,249.19925313774786,233.9156081490258,0.05054138702460716,0.15,0.85
5,249.19925313774786,236.70303591842142,0.0,0.15,0.85
6,249.19925313774786,234.35561140856754,0.0,0.15,0.85
7,249.19925313774786,235.48039752131658,0.0,0.15,0.85
8,249.19925313774786,232.7972501265978,0.0,0.15,0.85
9,249.19925313774786,231.71781271238618,0.0,0.15,0.85
10,249.19925313774786,230.57699871527322,0.0,0.15,0.85
11,249.19925313774786,227.65994884526012,0.0,0.15,0.85
12,249.19925313774786,237.71959196663462,0.0,0.15,0.85
13,249.19925313774786,230.86069089229713,0.0,0.15,0.85
14,249.19925313774786,230.19127576431157,0.0,0.15,0.85
15,249.19925313774786,229.78324793288513,0.0,0.15,0.85
16,249.19925313774786,238.77429463713608,0.0,0.15,0.85
17,249.19925313774786,232.11746077113352,0.0,0.15,0.85
18,249.19925313774786,232.5097499289836,0.0,0.15,0.85
19,249.19925313774786,234.43663125229918,0.0,0.15,0.85
20,249.19925313774786,232.81894381452415,0.0,0.15,0.85
21,249.19925313774786,228.97243845628793,0.0,0.15,0.85
22,249.19925313774786,232.29912889213966,0.0,0.15,0.85
23,249.19925313774786,236.2883691860506,0.0,0.15,0.85
24,249.19925313774786,233.6678417492892,0.0,0.15,0.85
25,249.19925313774786,235.75269500010856,0.0,0.15,0.85
26,249.19925313774786,228.50536756560268,0.0,0.15,0.85
27,249.19925313774786,236.37871677533204,0.0,0.15,0.85
28,249.19925313774786,235.97591711675855,0.0,0.15,0.85
29,249.19925313774786,241.05429758287798,0.0,0.15,0.85
30,249.19925313774786,239.56826267687336,0.0,0.15,0.85
31,249.19925313774786,229.1131800537162,0.0,0.15,0.85
32,249.19925313774786,229.97382987726635,0.0,0.15,0.85
33,249.19925313774786,225.79513801438713,0.0,0.15,0.85
34,249.19925313774786,239.839748154743,0.0,0.15,0.85
35,249.19925313774786,233.8223945123481,0.0,0.15,0.85
36,249.19925313774786,232.82972033198888,0.0,0.15,0.85
37,249.19925313774786,231.23721234757025,0.0,0.15,0.85
38,249.19925313774786,234.63655788269074,0.0,0.15,0.85
39,249.19925313774786,226.3357818583778,0.0,0.15,0.85
40,249.19925313774786,228.1613446477882,0.0,0.15,0.85
41,249.19925313774786,229.79238429621648,0.0,0.15,0.85
42,249.19925313774786,227.79524242911555,0.0,0.15,0.85
43,249.19925313774786,230.0773166358515,0.0,0.15,0.85
44,249.19925313774786,240.14460517766415,0.0,0.15,0.85
45,249.19925313774786,238.0761660974641,0.0,0.15,0.85
46,249.19925313774786,233.35567628067994,0.0,0.15,0.85
47,249.19925313774786,232.40890349421815,0.0,0.15,0.85
48,249.19925313774786,235.89627925682595,0.0,0.15,0.85
49,249.19925313774786,235.8858575626081,0.0,0.15,0.85
50,249.19925313774786,232.24345052040314,0.0,0.15,0.85
51,249.19925313774786,231.73081455961122,0.0,0.15,0.85
