iteration,best_fitness,avg_fitness,diversity,pheromone_avg,pheromone_max,pheromone_min
0,184.47358285822352,109.50492381279398,1.2677366054278785,1.728910203041378,1.8,0.06589120284367435
1,191.56772632607286,99.23631102063744,1.2872870023339813,1.5003992642180144,1.6342857142857143,0.02
2,191.56772632607286,93.71319852126292,1.319985511878123,1.3055444004031913,1.485142857142857,0.02
3,191.56772632607286,84.82119167953515,1.3357432619580099,1.1396758006612724,1.3380571428571428,0.02
4,191.56772632607286,80.11792993061937,1.3275451155853746,0.9963045554875198,1.2172514285714287,0.02
5,191.56772632607286,80.5501281423621,1.3200790454884332,0.8716277595296524,1.109812,0.02
6,191.56772632607286,83.09150003620447,1.3380165218822837,0.7634518262190916,1.0131165142857144,0.02
7,191.56772632607286,82.83053515968858,1.3657625794538388,0.6693564601501888,0.9118048628571429,0.02
8,191.56772632607286,86.7285548546406,1.3570436935671708,0.587726729372742,0.8349100908571429,0.02
9,191.56772632607286,86.86615367108864,1.378224992010226,0.5167876598288942,0.7657047960571428,0.02
10,191.56772632607286,90.08587679409483,1.3367090657291916,0.4543722632382339,0.6969052597514286,0.02
11,191.56772632607286,88.74508773927542,1.3474691110529935,0.39990784160569287,0.6272147337762858,0.02
12,191.56772632607286,92.59395476156959,1.3678540793037322,0.3525480306487319,0.5769932603986572,0.02
13,191.56772632607286,91.46091136103213,1.3546620503533202,0.31109174218467395,0.5317939343587914,0.02
14,191.56772632607286,92.56414812066974,1.3426481239367136,0.274782549290982,0.48037912026187757,0.02
15,191.56772632607286,95.68845672485706,1.315880602122207,0.24287167706571186,0.4432530868306211,0.02
16,191.56772632607286,99.02630220646797,1.315236571531863,0.21494874405395434,0.398927778147559,0.02
17,191.56772632607286,98.83276140737752,1.3339351585525996,0.1904431286925721,0.37014611144391424,0.02
18,191.56772632607286,101.4614975774858,1.3078095248028225,0.16892811614458997,0.34600185118563165,0.02
19,191.56772632607286,103.50299498871819,1.302545893579463,0.1499623636240291,0.3256873803527828,0.02
20,191.56772632607286,107.98047874987328,1.2757070908211912,0.13326358304379254,0.3074043566032188,0.02
21,191.56772632607286,106.4756377476086,1.2883529187690257,0.11849949131483872,0.27666392094289693,0.02
22,191.56772632607286,110.54230009073694,1.2639152326669176,0.10549187066297244,0.2632832431343215,0.02
