iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,543.4493090687354,452.3351463997408,0.3833996884453515,0.15,0.85
1,548.0279335286277,460.9668915347978,0.2783067800641186,0.15,0.85
2,548.0279335286277,486.85326528242774,0.17598255736376722,0.15,0.85
3,548.0279335286277,509.5008503771037,0.1306262580849607,0.15,0.85
4,548.0279335286277,498.7899680288941,0.11250983477577357,0.15,0.85
5,548.0279335286277,482.4413687960248,0.009141658236858861,0.15,0.85
6,548.0279335286277,496.01197698769676,0.0,0.15,0.85
7,548.0279335286277,500.58831529567533,0.0,0.15,0.85
8,548.0279335286277,498.4204169034291,0.0,0.15,0.85
9,549.7712590917556,486.8595935279013,0.0,0.15,0.85
10,549.7712590917556,504.4037832898843,0.0,0.15,0.85
11,551.2705972733729,493.9660457619172,0.0,0.15,0.85
12,551.2705972733729,495.3205802187258,0.0,0.15,0.85
13,551.2705972733729,495.661212736226,0.0,0.15,0.85
14,551.2705972733729,491.2070668081851,0.0,0.15,0.85
15,551.2705972733729,506.46179504705094,0.0,0.15,0.85
16,551.2705972733729,513.4076843974991,0.0,0.15,0.85
17,551.2705972733729,517.2013155508791,0.0,0.15,0.85
18,551.2705972733729,489.7309788199434,0.0,0.15,0.85
19,551.2705972733729,510.9075631558029,0.0,0.15,0.85
20,551.2705972733729,513.7890226668482,0.0,0.15,0.85
21,551.2705972733729,512.1018415076284,0.0,0.15,0.85
22,551.2705972733729,506.5498575874434,0.0,0.15,0.85
23,551.2705972733729,507.90610918460766,0.0,0.15,0.85
24,551.2705972733729,486.02892896458553,0.0,0.15,0.85
25,551.2705972733729,492.1975195681893,0.0,0.15,0.85
26,551.2705972733729,505.4126907192181,0.0,0.15,0.85
27,551.2705972733729,511.41586102487105,0.0,0.15,0.85
28,551.2705972733729,533.4872291632167,0.0,0.15,0.85
29,551.8254023917036,514.5100956812619,0.0,0.15,0.85
30,551.8254023917036,506.3716076283023,0.0,0.15,0.85
31,553.3247405733207,495.70950013723854,0.0,0.15,0.85
32,553.3247405733207,495.5996006444371,0.0,0.15,0.85
33,553.3247405733207,521.5590939141941,0.0,0.15,0.85
34,553.3247405733207,506.10140185662914,0.0,0.15,0.85
35,553.3247405733207,511.4873641314094,0.0,0.15,0.85
36,553.3247405733207,538.7981937228491,0.0,0.15,0.85
37,553.3247405733207,530.636421356064,0.0,0.15,0.85
38,553.3247405733207,515.6725182968106,0.0,0.15,0.85
39,553.3247405733207,518.628170249361,0.0,0.15,0.85
40,553.3247405733207,530.1913791846596,0.0,0.15,0.85
41,553.3247405733207,532.6489475745733,0.0,0.15,0.85
42,553.3247405733207,536.1416393633722,0.0,0.15,0.85
43,553.3247405733207,513.8357951434756,0.0,0.15,0.85
44,553.3247405733207,517.3731272570071,0.0,0.15,0.85
45,553.3247405733207,517.7366890450545,0.0,0.15,0.85
46,553.3247405733207,517.2311454822319,0.0,0.15,0.85
47,553.3247405733207,520.3729944647819,0.0,0.15,0.85
48,553.3247405733207,517.7988290196251,0.0,0.15,0.85
49,553.3247405733207,529.1795574740344,0.0,0.15,0.85
50,553.3247405733207,509.8140452537166,0.0,0.15,0.85
51,553.3247405733207,529.9869309740886,0.0,0.15,0.85
52,553.3247405733207,512.6500956285047,0.0,0.15,0.85
53,553.3247405733207,522.1844946488613,0.0,0.15,0.85
54,553.3247405733207,512.1653989003081,0.0,0.15,0.85
55,553.3247405733207,496.53416512573835,0.0,0.15,0.85
56,553.3247405733207,504.20475549145755,0.0,0.15,0.85
57,553.3247405733207,529.2667144403268,0.0,0.15,0.85
58,553.3247405733207,518.544130598658,0.0,0.15,0.85
59,553.3247405733207,516.8430466082982,0.0,0.15,0.85
60,553.3247405733207,505.178635104203,0.0,0.15,0.85
61,553.3247405733207,503.15915988654143,0.0,0.15,0.85
62,553.3247405733207,526.218765721848,0.0,0.15,0.85
63,553.3247405733207,502.9156323208273,0.0,0.15,0.85
64,553.3247405733207,519.727798563103,0.0,0.15,0.85
65,553.3247405733207,511.47624270782933,0.0,0.15,0.85
66,553.3247405733207,516.5815166803626,0.0,0.15,0.85
67,553.3247405733207,515.8047320925866,0.0,0.15,0.85
68,553.3247405733207,525.76030491131,0.0,0.15,0.85
69,553.3247405733207,523.2251151646133,0.0,0.15,0.85
70,553.3247405733207,505.2841320066514,0.0,0.15,0.85
71,553.3247405733207,523.0698096238001,0.0,0.15,0.85
72,553.3247405733207,495.80345297837994,0.0,0.15,0.85
