iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,0,0.0,0.0,0.15,0.85,0
1,0,0.0,0.0,0.15,0.85,1
2,0,0.0,0.0,0.15,0.85,2
3,0,0.0,0.0,0.15,0.85,3
4,0,0.0,0.0,0.15,0.85,4
5,0,0.0,0.0,0.15,0.85,5
6,0,0.0,0.0,0.15,0.85,6
7,0,0.0,0.0,0.15,0.85,7
8,0,0.0,0.0,0.15,0.85,8
9,0,0.0,0.0,0.15,0.85,9
10,0,0.0,0.0,0.15,0.85,10
11,0,0.0,0.0,0.15,0.85,11
12,0,0.0,0.0,0.15,0.85,12
13,0,0.0,0.0,0.15,0.85,13
14,0,0.0,0.0,0.15,0.85,14
15,0,0.0,0.0,0.15,0.85,15
16,0,0.0,0.0,0.15,0.85,16
17,0,0.0,0.0,0.15,0.85,17
18,0,0.0,0.0,0.15,0.85,18
19,0,0.0,0.0,0.15,0.85,19
20,0,0.0,0.0,0.15,0.85,20
21,0,0.0,0.0,0.15,0.85,21
22,0,0.0,0.0,0.15,0.85,22
23,0,0.0,0.0,0.15,0.85,23
24,0,0.0,0.0,0.15,0.85,24
25,0,0.0,0.0,0.15,0.85,25
26,0,0.0,0.0,0.15,0.85,26
27,0,0.0,0.0,0.15,0.85,27
28,0,0.0,0.0,0.15,0.85,28
29,0,0.0,0.0,0.15,0.85,29
30,0,0.0,0.0,0.15,0.85,30
31,0,0.0,0.0,0.15,0.85,31
32,0,0.0,0.0,0.15,0.85,32
33,0,0.0,0.0,0.15,0.85,33
34,0,0.0,0.0,0.15,0.85,34
35,0,0.0,0.0,0.15,0.85,35
36,0,0.0,0.0,0.15,0.85,36
37,0,0.0,0.0,0.15,0.85,37
38,0,0.0,0.0,0.15,0.85,38
39,0,0.0,0.0,0.15,0.85,39
40,0,0.0,0.0,0.15,0.85,40
41,0,0.0,0.0,0.15,0.85,41
