iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,110.43993782304449,83.4413328364488,0.2462072109200287,0.15,0.85
1,110.43993782304449,90.63394493718485,0.13898879772207567,0.15,0.85
2,110.43993782304449,96.19063647501565,0.08764424337791765,0.15,0.85
3,110.43993782304449,104.58335991506299,0.026816155258326778,0.15,0.85
4,110.44841136980808,102.36823750811573,0.0,0.15,0.85
5,110.44841136980808,102.03398790970239,0.0,0.15,0.85
6,110.44841136980808,106.22192534452904,0.0,0.15,0.85
7,110.44841136980808,106.33904301487948,0.0,0.15,0.85
8,110.44841136980808,104.94723088812393,0.0,0.15,0.85
9,110.50264914474718,103.79023247006135,0.0,0.15,0.85
10,110.50264914474718,105.4353994767681,0.0,0.15,0.85
11,110.50264914474718,105.22393118174993,0.0,0.15,0.85
12,110.50264914474718,104.12031077386098,0.0,0.15,0.85
13,110.50264914474718,105.19583604873776,0.0,0.15,0.85
14,110.50264914474718,102.17892594994638,0.0,0.15,0.85
15,110.50264914474718,101.93019217518776,0.0,0.15,0.85
16,110.50264914474718,103.9661037021531,0.0,0.15,0.85
17,110.50264914474718,101.91810166469914,0.0,0.15,0.85
18,110.50264914474718,102.32554624582392,0.0,0.15,0.85
19,110.50264914474718,105.12502268542734,0.0,0.15,0.85
20,110.50264914474718,103.7689898549775,0.0,0.15,0.85
21,110.50264914474718,105.29926214931555,0.0,0.15,0.85
22,110.50264914474718,104.46827827641134,0.0,0.15,0.85
23,110.50264914474718,104.64374389974188,0.0,0.15,0.85
24,110.50264914474718,102.82991434426636,0.0,0.15,0.85
25,110.50264914474718,104.32481414902504,0.0,0.15,0.85
26,110.50264914474718,105.8477993810997,0.0,0.15,0.85
27,110.50264914474718,103.78490040512375,0.0,0.15,0.85
28,110.50264914474718,99.56516467675266,0.0,0.15,0.85
29,110.51474331291696,103.6576121846645,0.0,0.15,0.85
30,110.51474331291696,103.11897144687822,0.0,0.15,0.85
31,110.51474331291696,104.44841008228714,0.0,0.15,0.85
32,110.51474331291696,100.92303868257012,0.0,0.15,0.85
33,110.51474331291696,102.69059707517218,0.0,0.15,0.85
34,110.51474331291696,105.03167829604307,0.0,0.15,0.85
35,110.51474331291696,104.23133704989704,0.0,0.15,0.85
36,110.51474331291696,106.34681403272192,0.0,0.15,0.85
37,110.51474331291696,100.58551176546673,0.0,0.15,0.85
38,110.51474331291696,99.40467481007148,0.0,0.15,0.85
39,110.51474331291696,103.62588969735238,0.0,0.15,0.85
40,110.51474331291696,103.54700177765321,0.0,0.15,0.85
41,110.51474331291696,104.49434814728987,0.0,0.15,0.85
42,110.51474331291696,104.02881836344007,0.0,0.15,0.85
43,110.51474331291696,105.04076386515146,0.0,0.15,0.85
44,110.51474331291696,102.32609857880077,0.0,0.15,0.85
45,110.51474331291696,106.82783865565644,0.0,0.15,0.85
46,110.51474331291696,102.96184034939907,0.0,0.15,0.85
47,110.51474331291696,103.53093546209983,0.0,0.15,0.85
48,110.51474331291696,105.17449730793092,0.0,0.15,0.85
49,110.51474331291696,103.02155059009009,0.0,0.15,0.85
50,110.51474331291696,106.34245433978131,0.0,0.15,0.85
51,110.51474331291696,100.85345104794592,0.0,0.15,0.85
52,110.51474331291696,104.1171328601034,0.0,0.15,0.85
53,110.51474331291696,104.82437340251374,0.0,0.15,0.85
54,110.51474331291696,100.75592898812889,0.0,0.15,0.85
55,110.51474331291696,103.9106188546548,0.0,0.15,0.85
56,110.51474331291696,105.67728956331723,0.0,0.15,0.85
57,110.51474331291696,101.82590600143665,0.0,0.15,0.85
58,110.51474331291696,99.13699420996778,0.0,0.15,0.85
59,110.51474331291696,103.9973038405704,0.0,0.15,0.85
60,110.51474331291696,101.5963648611663,0.0,0.15,0.85
61,110.51474331291696,102.74476430144524,0.0,0.15,0.85
62,110.51474331291696,104.66783062680734,0.0,0.15,0.85
63,110.51474331291696,103.63077215296462,0.0,0.15,0.85
64,110.51474331291696,102.38535323830304,0.0,0.15,0.85
65,110.51474331291696,105.0357720100349,0.0,0.15,0.85
66,110.51474331291696,102.396779664545,0.0,0.15,0.85
67,110.51474331291696,103.2796815127472,0.0,0.15,0.85
68,110.51474331291696,101.03056537773473,0.0,0.15,0.85
69,110.51474331291696,103.96803399507496,0.0,0.15,0.85
70,110.51474331291696,101.83709435004981,0.0,0.15,0.85
