iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,386.58890152529295,228.62226407761392,0.7556964988287179,0.15,0.85,0
1,386.58890152529295,279.750627553094,0.8376339536261529,0.15,0.85,1
2,386.58890152529295,329.2666414075815,0.7660599312260636,0.15,0.85,2
3,386.58890152529295,363.22703729159156,0.5755515249197988,0.15,0.85,3
4,386.58890152529295,370.7874474943709,0.09851010952505924,0.15,0.85,4
5,386.58890152529295,378.1394074776722,0.0,0.15,0.85,5
6,386.58890152529295,373.27228543904664,0.0,0.15,0.85,6
7,386.58890152529295,368.0472412539151,0.0,0.15,0.85,7
8,386.58890152529295,371.4072698641442,0.0,0.15,0.85,8
9,386.58890152529295,373.237245324171,0.0,0.15,0.85,9
10,386.58890152529295,376.08819054013105,0.0,0.15,0.85,10
11,386.58890152529295,376.1312041229822,0.0,0.15,0.85,11
12,386.58890152529295,379.0509031515976,0.0,0.15,0.85,12
13,386.58890152529295,370.2773683173622,0.0,0.15,0.85,13
14,386.58890152529295,366.62801735996084,0.0,0.15,0.85,14
15,386.58890152529295,372.51707954402605,0.0,0.15,0.85,15
16,386.58890152529295,374.8719471379893,0.0,0.15,0.85,16
17,386.58890152529295,375.19878411134425,0.0,0.15,0.85,17
18,386.58890152529295,375.87588261875453,0.0,0.15,0.85,18
19,386.58890152529295,377.63475020393895,0.0,0.15,0.85,19
20,386.58890152529295,375.97942372048476,0.0,0.15,0.85,20
21,386.58890152529295,378.2194650472673,0.0,0.15,0.85,21
22,386.58890152529295,374.4385393084587,0.0,0.15,0.85,22
23,386.58890152529295,371.3670518091144,0.0,0.15,0.85,23
24,386.58890152529295,366.11870039847895,0.0,0.15,0.85,24
25,386.58890152529295,376.81482475272634,0.0,0.15,0.85,25
26,386.58890152529295,371.6773993185937,0.0,0.15,0.85,26
27,386.58890152529295,377.67782130957914,0.0,0.15,0.85,27
28,386.58890152529295,369.4494932605107,0.0,0.15,0.85,28
29,386.58890152529295,372.29937032822846,0.0,0.15,0.85,29
30,386.58890152529295,367.9336465572267,0.0,0.15,0.85,30
31,386.58890152529295,373.45172319545674,0.0,0.15,0.85,31
32,386.58890152529295,379.8236854637582,0.0,0.15,0.85,32
33,386.58890152529295,373.0467703177851,0.0,0.15,0.85,33
34,386.58890152529295,369.0645990788132,0.0,0.15,0.85,34
35,386.58890152529295,364.76748454395045,0.0,0.15,0.85,35
36,386.58890152529295,373.2730766244036,0.0,0.15,0.85,36
37,386.58890152529295,376.53705924396724,0.0,0.15,0.85,37
38,386.58890152529295,367.3414443726711,0.0,0.15,0.85,38
39,386.58890152529295,373.03805527651707,0.0,0.15,0.85,39
40,386.58890152529295,372.32328426631085,0.0,0.15,0.85,40
41,386.58890152529295,375.3073773572998,0.0,0.15,0.85,41
