iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,291.25195500137227,229.77307413991582,0.36662861899879484,0.15,0.85
1,291.25195500137227,239.94682873679398,0.20264194528553428,0.15,0.85
2,291.25195500137227,239.95152688356416,0.2984109386548509,0.15,0.85
3,291.25195500137227,249.30797345523212,0.1869690214497479,0.15,0.85
4,291.25195500137227,260.3960716375407,0.12910577052984604,0.15,0.85
5,291.25195500137227,271.01453456119094,0.044059795436664044,0.15,0.85
6,291.25195500137227,275.99945544289756,0.0,0.15,0.85
7,291.25195500137227,250.89960285463633,0.0,0.15,0.85
8,291.25195500137227,262.90743306472297,0.0,0.15,0.85
9,291.25195500137227,268.28377589455573,0.0,0.15,0.85
10,291.25195500137227,260.1524192157666,0.0,0.15,0.85
11,292.52854761983366,261.13390381854214,0.0,0.15,0.85
12,292.52854761983366,280.0686864084836,0.0,0.15,0.85
13,292.52854761983366,274.73511907573067,0.0,0.15,0.85
14,292.52854761983366,273.0714305929153,0.0,0.15,0.85
15,292.52854761983366,268.7352796572703,0.0,0.15,0.85
16,292.52854761983366,266.94340328702805,0.0,0.15,0.85
17,292.52854761983366,270.19699961502084,0.0,0.15,0.85
18,292.52854761983366,266.6935989873938,0.0,0.15,0.85
19,292.52854761983366,269.90352545724875,0.0,0.15,0.85
20,292.52854761983366,279.2284003490259,0.0,0.15,0.85
21,292.52854761983366,280.1309892662956,0.0,0.15,0.85
22,292.52854761983366,265.84849767610126,0.0,0.15,0.85
23,292.52854761983366,271.8515698505044,0.0,0.15,0.85
24,292.52854761983366,259.9431913370868,0.0,0.15,0.85
25,292.52854761983366,264.42552860845734,0.0,0.15,0.85
26,292.52854761983366,272.8298446050731,0.0,0.15,0.85
27,292.52854761983366,272.1007081090285,0.0,0.15,0.85
28,292.52854761983366,262.01633691678245,0.0,0.15,0.85
29,292.52854761983366,273.35592158169965,0.0,0.15,0.85
30,292.52854761983366,273.14250347954027,0.0,0.15,0.85
31,292.52854761983366,265.0555285273581,0.0,0.15,0.85
32,292.52854761983366,266.0659212025627,0.0,0.15,0.85
33,292.52854761983366,271.1500645036518,0.0,0.15,0.85
34,292.52854761983366,280.87618068462405,0.0,0.15,0.85
35,292.52854761983366,252.2105765153611,0.0,0.15,0.85
36,292.52854761983366,277.58614916352315,0.0,0.15,0.85
37,292.52854761983366,269.96140991580575,0.0,0.15,0.85
38,292.52854761983366,268.9489554753362,0.0,0.15,0.85
39,292.52854761983366,260.0314391883347,0.0,0.15,0.85
40,292.52854761983366,268.1064471317441,0.0,0.15,0.85
41,292.52854761983366,261.05697050492023,0.0,0.15,0.85
42,292.52854761983366,260.10557101837037,0.0,0.15,0.85
43,292.52854761983366,267.5259626312851,0.0,0.15,0.85
44,292.52854761983366,269.0735337316368,0.0,0.15,0.85
45,292.52854761983366,272.8643930977052,0.0,0.15,0.85
46,292.52854761983366,272.3337138016487,0.0,0.15,0.85
47,292.52854761983366,277.6502740012563,0.0,0.15,0.85
48,292.52854761983366,268.07511763185465,0.0,0.15,0.85
49,292.52854761983366,270.1928685676253,0.0,0.15,0.85
50,292.52854761983366,262.2986801927363,0.0,0.15,0.85
51,292.52854761983366,272.8376623114249,0.0,0.15,0.85
52,292.52854761983366,277.5915884338214,0.0,0.15,0.85
