iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,generations_without_improvement
0,908.430091280127,705.430378089555,0.6722964518847913,0.15,0.85,0
1,911.2205204561201,793.6749726914467,0.6868554700666164,0.15,0.85,0
2,911.2205204561201,818.1494107436039,0.6367174617157372,0.15,0.85,1
3,911.2205204561201,869.1352048542803,0.3884671515691498,0.15,0.85,2
4,911.2205204561201,883.5444047386449,0.032657059407649396,0.15,0.85,3
5,911.2205204561201,890.5327505419015,0.0,0.15,0.85,4
6,911.2205204561201,869.3478669172839,0.0,0.15,0.85,5
7,911.2205204561201,883.3156546746578,0.0,0.15,0.85,6
8,911.2205204561201,874.5243291691664,0.0,0.15,0.85,7
9,911.2205204561201,878.6211509732025,0.0,0.15,0.85,8
10,911.2205204561201,871.0143110938106,0.0,0.15,0.85,9
11,911.2205204561201,884.8111774952092,0.0,0.15,0.85,10
12,911.2205204561201,862.5663720734519,0.0,0.15,0.85,11
13,911.2205204561201,886.8627467721348,0.0,0.15,0.85,12
14,911.2205204561201,885.1295283228931,0.0,0.15,0.85,13
15,911.2205204561201,896.3461056766403,0.0,0.15,0.85,14
16,911.2205204561201,869.7851653016182,0.0,0.15,0.85,15
17,911.2205204561201,879.8150901884144,0.0,0.15,0.85,16
18,911.2205204561201,886.8351195478591,0.0,0.15,0.85,17
19,911.2205204561201,863.383984672165,0.0,0.15,0.85,18
20,911.2205204561201,883.061143543486,0.0,0.15,0.85,19
21,911.2205204561201,884.1664059527602,0.0,0.15,0.85,20
22,911.2205204561201,883.492305420443,0.0,0.15,0.85,21
23,911.2205204561201,884.9562923297145,0.0,0.15,0.85,22
24,911.2205204561201,879.1155406427137,0.0,0.15,0.85,23
25,912.0768720906892,878.042957815044,0.0,0.15,0.85,0
26,912.0768720906892,883.1780047408843,0.0,0.15,0.85,1
27,912.0768720906892,883.5490261865082,0.0,0.15,0.85,2
28,912.0768720906892,881.7946700239386,0.0,0.15,0.85,3
29,912.0768720906892,886.7407800035061,0.0,0.15,0.85,4
30,912.0768720906892,882.8805677404343,0.0,0.15,0.85,5
31,914.238572158598,882.1492536546319,0.0,0.15,0.85,0
32,914.238572158598,872.5423018174532,0.0,0.15,0.85,1
33,914.238572158598,885.4739654436777,0.0,0.15,0.85,2
34,914.238572158598,899.4459122683386,0.0,0.15,0.85,3
35,914.238572158598,878.3616871530974,0.0,0.15,0.85,4
36,914.238572158598,878.1648690528648,0.0,0.15,0.85,5
37,914.238572158598,894.0565326988262,0.0,0.15,0.85,6
38,914.238572158598,894.7150551179158,0.0,0.15,0.85,7
39,914.238572158598,889.6528515865372,0.0,0.15,0.85,8
40,914.238572158598,894.6715168424696,0.0,0.15,0.85,9
41,914.238572158598,886.992875415297,0.0,0.15,0.85,10
42,914.238572158598,899.2508775105305,0.0,0.15,0.85,11
43,914.238572158598,870.9595853090767,0.0,0.15,0.85,12
44,914.238572158598,884.9854428892652,0.0,0.15,0.85,13
45,914.238572158598,897.4061272341737,0.0,0.15,0.85,14
46,914.238572158598,880.7310875975816,0.0,0.15,0.85,15
47,914.238572158598,893.159304278335,0.0,0.15,0.85,16
48,914.238572158598,896.8192213836763,0.0,0.15,0.85,17
49,914.238572158598,881.8509107386074,0.0,0.15,0.85,18
50,914.238572158598,888.6483154829824,0.0,0.15,0.85,19
51,914.238572158598,892.1179503056998,0.0,0.15,0.85,20
52,914.238572158598,886.9221824945057,0.0,0.15,0.85,21
53,914.238572158598,902.9223028336129,0.0,0.15,0.85,22
54,914.238572158598,884.6621834706037,0.0,0.15,0.85,23
55,914.238572158598,876.8413304946349,0.0,0.15,0.85,24
56,914.238572158598,881.9093610937206,0.0,0.15,0.85,25
57,914.238572158598,891.4375488110416,0.0,0.15,0.85,26
58,914.238572158598,899.2601654643461,0.0,0.15,0.85,27
59,914.238572158598,907.2419388927104,0.0,0.15,0.85,28
60,914.238572158598,875.4759992882769,0.0,0.15,0.85,29
61,914.238572158598,880.8152214570833,0.0,0.15,0.85,30
62,914.238572158598,899.2689159169845,0.0,0.15,0.85,31
63,914.238572158598,873.7867151447489,0.0,0.15,0.85,32
64,914.238572158598,880.9291717967217,0.0,0.15,0.85,33
65,914.238572158598,884.4237820893549,0.0,0.15,0.85,34
66,914.238572158598,895.7020221205577,0.0,0.15,0.85,35
67,914.238572158598,881.4214937039187,0.0,0.15,0.85,36
68,914.238572158598,889.7438594415755,0.0,0.15,0.85,37
69,914.238572158598,880.5628512714832,0.0,0.15,0.85,38
70,914.238572158598,862.5527185242221,0.0,0.15,0.85,39
71,914.238572158598,894.182635239825,0.0,0.15,0.85,40
72,914.238572158598,899.3529886308088,0.0,0.15,0.85,41
