iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,97.64824143333061,91.93907096395945,0.12646210333070246,0.15,0.85
1,97.64824143333061,96.1994881764432,0.007933385785470716,0.15,0.85
2,97.64824143333061,96.9476981906287,0.0,0.15,0.85
3,97.64824143333061,95.30415626735079,0.0,0.15,0.85
4,97.64824143333061,94.76189830933657,0.0,0.15,0.85
5,97.64824143333061,96.00283695024453,0.0,0.15,0.85
6,97.64824143333061,96.13620834400542,0.0,0.15,0.85
7,97.64824143333061,96.31878186600838,0.0,0.15,0.85
8,97.64824143333061,96.01687657322596,0.0,0.15,0.85
9,97.64824143333061,96.88520507717739,0.0,0.15,0.85
10,97.64824143333061,95.38638035225111,0.0,0.15,0.85
11,97.64824143333061,95.61846736377923,0.0,0.15,0.85
12,97.64824143333061,95.46914704925486,0.0,0.15,0.85
13,97.64824143333061,96.1051375509908,0.0,0.15,0.85
14,97.64824143333061,96.84838005475206,0.0,0.15,0.85
15,97.64824143333061,95.70724823884332,0.0,0.15,0.85
16,97.64824143333061,96.89815349292685,0.0,0.15,0.85
17,97.64824143333061,96.432628313989,0.0,0.15,0.85
18,97.64824143333061,96.29873702292893,0.0,0.15,0.85
19,97.64824143333061,95.88982176084625,0.0,0.15,0.85
20,97.64824143333061,96.60199347159288,0.0,0.15,0.85
21,97.64824143333061,96.3506928755676,0.0,0.15,0.85
22,97.64824143333061,96.41858869100757,0.0,0.15,0.85
23,97.64824143333061,96.48349295939576,0.0,0.15,0.85
24,97.64824143333061,96.3558668370833,0.0,0.15,0.85
25,97.64824143333061,95.66959195783562,0.0,0.15,0.85
26,97.64824143333061,96.23684642758698,0.0,0.15,0.85
27,97.64824143333061,96.23710637623657,0.0,0.15,0.85
28,97.64824143333061,94.5740904552221,0.0,0.15,0.85
29,97.64824143333061,96.3556068884337,0.0,0.15,0.85
30,97.64824143333061,95.8389571154395,0.0,0.15,0.85
31,97.64824143333061,96.40129757232478,0.0,0.15,0.85
32,97.64824143333061,96.03557026042387,0.0,0.15,0.85
33,97.64824143333061,96.70263155517443,0.0,0.15,0.85
34,97.64824143333061,96.48323301074616,0.0,0.15,0.85
35,97.64824143333061,95.85242542848816,0.0,0.15,0.85
36,97.64824143333061,95.9157185923452,0.0,0.15,0.85
37,97.64824143333061,96.41941994958995,0.0,0.15,0.85
38,97.64824143333061,96.01661662457637,0.0,0.15,0.85
39,97.64824143333061,97.13159166033657,0.0,0.15,0.85
40,97.64824143333061,97.11864324458709,0.0,0.15,0.85
41,97.64824143333061,97.23248969256773,0.0,0.15,0.85
