iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate
0,323.52528741451533,240.7723094641312,0.34401539975890655,0.15,0.85
1,323.52528741451533,257.18860546451396,0.2928130048114354,0.15,0.85
2,323.52528741451533,274.71243985710964,0.2228094486159173,0.15,0.85
3,323.52528741451533,292.89621085421976,0.1101797494401743,0.15,0.85
4,323.52528741451533,304.5197203647581,0.022269102520873198,0.15,0.85
5,323.52528741451533,305.4855404038334,0.0011520737327188925,0.15,0.85
6,323.52528741451533,295.3055845164374,0.0,0.15,0.85
7,323.52528741451533,307.55780048731214,0.0,0.15,0.85
8,323.52528741451533,305.3620080025169,0.0,0.15,0.85
9,323.52528741451533,306.8775158816348,0.0,0.15,0.85
10,323.52528741451533,314.37185701067966,0.0,0.15,0.85
11,323.52528741451533,309.47848859835864,0.0,0.15,0.85
12,323.52528741451533,303.00121341776094,0.0,0.15,0.85
13,323.52528741451533,303.89074066179467,0.0,0.15,0.85
14,323.52528741451533,303.2211289344086,0.0,0.15,0.85
15,323.52528741451533,306.55615651102397,0.0,0.15,0.85
16,323.52528741451533,304.4776981255055,0.0,0.15,0.85
17,323.52528741451533,291.68762671780974,0.0,0.15,0.85
18,323.52528741451533,302.20824017548586,0.0,0.15,0.85
19,323.52528741451533,294.07832574057676,0.0,0.15,0.85
20,323.52528741451533,300.2788049026859,0.0,0.15,0.85
21,323.52528741451533,306.63900005393714,0.0,0.15,0.85
22,323.52528741451533,304.7593732607964,0.0,0.15,0.85
23,323.52528741451533,301.49875344729014,0.0,0.15,0.85
24,323.52528741451533,310.155576564047,0.0,0.15,0.85
25,323.52528741451533,315.8738088231037,0.0,0.15,0.85
26,323.52528741451533,305.42117086621374,0.0,0.15,0.85
27,323.52528741451533,293.97633284532793,0.0,0.15,0.85
28,323.52528741451533,297.9190278965019,0.0,0.15,0.85
29,323.52528741451533,307.5149612250961,0.0,0.15,0.85
30,323.52528741451533,300.1410187567514,0.0,0.15,0.85
31,323.52528741451533,300.8889520435461,0.0,0.15,0.85
32,323.52528741451533,300.02765381400314,0.0,0.15,0.85
33,323.52528741451533,298.2607033417177,0.0,0.15,0.85
34,323.52528741451533,304.4023605684627,0.0,0.15,0.85
35,323.5743858946154,307.5630206719751,0.0,0.15,0.85
36,323.5743858946154,308.2885672102905,0.0,0.15,0.85
37,323.5743858946154,301.0340522341607,0.0,0.15,0.85
38,323.5743858946154,307.211851030301,0.0,0.15,0.85
39,323.5743858946154,289.7543878867267,0.0,0.15,0.85
40,323.5743858946154,300.1149783511941,0.0,0.15,0.85
41,323.5743858946154,307.16904619175244,0.0,0.15,0.85
42,323.5743858946154,308.7208593118842,0.0,0.15,0.85
43,323.5743858946154,298.2671680183558,0.0,0.15,0.85
44,323.5743858946154,304.3243743617969,0.0,0.15,0.85
45,323.5743858946154,299.4426726077604,0.0,0.15,0.85
46,323.5743858946154,303.5730869959068,0.0,0.15,0.85
47,323.5743858946154,310.613812870575,0.0,0.15,0.85
48,323.5743858946154,305.1161386958927,0.0,0.15,0.85
49,323.5743858946154,301.00077852673405,0.0,0.15,0.85
50,323.5743858946154,299.15949246326414,0.0,0.15,0.85
51,323.5743858946154,302.41966480236255,0.0,0.15,0.85
52,323.5743858946154,306.4548046361395,0.0,0.15,0.85
53,323.5743858946154,309.6680360147522,0.0,0.15,0.85
54,323.5743858946154,295.4720684844223,0.0,0.15,0.85
55,323.5743858946154,304.15011187364104,0.0,0.15,0.85
56,323.5743858946154,298.9216791307125,0.0,0.15,0.85
57,323.5743858946154,299.89790947406203,0.0,0.15,0.85
58,323.5743858946154,296.28916551811784,0.0,0.15,0.85
59,323.5743858946154,300.3650052343268,0.0,0.15,0.85
60,323.5743858946154,309.319075913672,0.0,0.15,0.85
61,323.5743858946154,304.6441234074012,0.0,0.15,0.85
62,323.5743858946154,299.1537997324228,0.0,0.15,0.85
63,323.5743858946154,308.3275157506912,0.0,0.15,0.85
64,323.5743858946154,304.1881793315265,0.0,0.15,0.85
65,323.5743858946154,299.66224856260726,0.0,0.15,0.85
66,323.5743858946154,302.4601295049396,0.0,0.15,0.85
67,323.5743858946154,304.8218298048099,0.0,0.15,0.85
68,323.5743858946154,297.6312004182902,0.0,0.15,0.85
69,323.5743858946154,309.60768137886714,0.0,0.15,0.85
70,323.5743858946154,310.75398410895866,0.0,0.15,0.85
71,323.5743858946154,302.5992669922726,0.0,0.15,0.85
72,323.5743858946154,301.40212455300446,0.0,0.15,0.85
73,323.5743858946154,306.3558925573639,0.0,0.15,0.85
74,323.5743858946154,302.08971863938507,0.0,0.15,0.85
75,323.5743858946154,308.29985577510155,0.0,0.15,0.85
76,323.5743858946154,303.37810852711834,0.0,0.15,0.85
