iteration,best_fitness,avg_fitness,diversity,mutation_rate,crossover_rate,tournament_size,generations_without_improvement,Instance_Size,Instance_File,Timestamp
0,174.35321338407482,110.55834861699358,0.985,0.3,0.85,10,0,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
10,185.1357947541035,148.36763067987656,1.0,0.3,0.85,10,8,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
20,185.1357947541035,150.76282661819138,1.0,0.3,0.85,10,18,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
30,185.1357947541035,150.43619718092785,1.0,0.3,0.85,10,28,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
40,185.1357947541035,144.6027233531215,1.0,0.3,0.85,10,38,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
50,185.1357947541035,149.36066721827405,1.0,0.3,0.85,10,48,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
60,185.1357947541035,150.46742774749214,1.0,0.3,0.85,10,58,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
70,185.1357947541035,148.5695929080273,1.0,0.3,0.85,10,68,25.0,Set_100_234/p4.2.a.txt,2024-11-19 12:41:17
0,462.4990441144772,296.0763131472902,1.0,0.3,0.85,10,0,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
10,488.964583880785,418.55304684096,1.0,0.3,0.85,10,0,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
20,490.69622285882446,408.03466208102014,1.0,0.3,0.85,10,3,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
30,490.75429275084645,427.87070305783675,1.0,0.3,0.85,10,6,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
40,492.0636245031462,402.0556647179928,1.0,0.3,0.85,10,3,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
50,492.7474760389465,426.7067993680759,1.0,0.3,0.85,10,7,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
60,492.798897825788,416.25862172611335,1.0,0.3,0.85,10,2,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
70,493.4520211062313,415.1624984092086,1.0,0.3,0.85,10,5,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
80,493.53220610185537,410.3049873484488,1.0,0.3,0.85,10,3,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
90,493.68167350330185,375.4460599510359,1.0,0.3,0.85,10,4,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
100,493.68167350330185,414.20656144721477,1.0,0.3,0.85,10,14,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
110,493.68167350330185,415.4905219747824,1.0,0.3,0.85,10,24,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
120,493.68167350330185,429.7766947722913,1.0,0.3,0.85,10,34,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
130,493.68167350330185,425.5692952036313,1.0,0.3,0.85,10,44,70.0,Set_100_234/p4.2.j.txt,2024-11-19 12:42:04
0,615.5321321423756,461.88063001213095,1.0,0.3,0.85,10,0,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
10,622.4706195044243,410.71202505526014,1.0,0.3,0.85,10,2,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
20,624.2121609523696,545.7781214712574,1.0,0.3,0.85,10,2,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
30,626.7400819120171,570.909210967859,1.0,0.3,0.85,10,0,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
40,628.4101061169002,594.6662164301357,1.0,0.3,0.85,10,1,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
50,630.1111338750561,532.6382615737497,1.0,0.3,0.85,10,5,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
60,630.817995656129,620.0682901438703,1.0,0.3,0.85,10,3,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
70,630.817995656129,612.5038603152512,1.0,0.3,0.85,10,13,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
80,630.8917551886759,618.2719861722135,1.0,0.3,0.85,10,7,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
90,630.9920076640445,620.3002613143577,1.0,0.3,0.85,10,8,120.0,Set_100_234/p4.2.t.txt,2024-11-19 12:44:13
