iteration,best_fitness,avg_fitness,diversity,temperature,acceptance_rate,iterations_without_improvement,Instance_Size,Instance_File,Timestamp
0,0,0,0,100.0,1.0,1,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
10,0,0,0,100.0,1.0,11,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
20,0,0,0,100.0,1.0,21,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
30,0,0,0,100.0,1.0,31,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
40,0,0,0,100.0,1.0,41,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
50,0,0,0,100.0,1.0,51,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
60,0,0,0,100.0,1.0,61,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
70,0,0,0,100.0,1.0,71,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
80,0,0,0,100.0,1.0,81,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
90,0,0,0,100.0,1.0,91,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
100,0,0,0,97.0,1.0,101,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
110,0,0,0,97.0,1.0,111,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
120,0,0,0,97.0,1.0,121,7.5,set_64_234/p6.2.a.txt,2024-11-19 11:01:55
